N2_thermo_1D,cp,h,u,mu,k
200.0,1043.443870676361,207003.19044138867,147769.8370801717,1.2910703860625263e-05,0.018279536244720104
201.00502512562815,1043.3896748108675,208051.8504233663,148518.3999288572,1.2964959227199041e-05,0.018362174451028748
202.01005025125627,1043.3365542891243,209100.4564796399,149266.930733225,1.3019117413847813e-05,0.018444690166078078
203.01507537688443,1043.284484123073,210149.00967832847,150015.4301743472,1.3073178816993602e-05,0.018527083832291923
204.02010050251255,1043.2334401688686,211197.51106286375,150763.89891766745,1.3127143831588629e-05,0.01860935589164493
205.0251256281407,1043.1833990983118,212245.96165282445,151512.33761357106,1.318101285109882e-05,0.0186915067856081
206.03015075376885,1043.1343383715118,213294.3624447425,152260.74689793636,1.3234786267488284e-05,0.01877353695509637
207.03517587939697,1043.0862362107234,214342.71441288159,153009.1273926675,1.3288464471204777e-05,0.01885544684041832
208.04020100502512,1043.039071575297,215391.01850999068,153757.47970621026,1.3342047851166101e-05,0.018937236881227983
209.04522613065328,1042.9928241376883,216439.27566803282,154505.80443405162,1.339553679474743e-05,0.01901890751647854
210.0502512562814,1042.9474742604773,217487.48679889,155254.1021592031,1.3448931687769456e-05,0.019100459184377923
211.05527638190955,1042.9030029743458,218535.6527950454,156002.37345266886,1.3502232914487404e-05,0.01918189232234616
212.0603015075377,1042.8593919569648,219583.77453024473,156750.6188739004,1.3555440857580813e-05,0.01926320736697453
213.06532663316582,1042.816623512755,220631.85286013572,157498.83897123608,1.36085558981441e-05,0.01934440475398628
214.07035175879398,1042.7746805534707,221679.8886228886,158247.03428232804,1.3661578415677876e-05,0.01942548491819908
215.0753768844221,1042.7335465795693,222727.88263979641,158995.20533455626,1.3714508788080919e-05,0.019506448293488788
216.08040201005025,1042.6932056623348,223775.83571585864,159743.35264543098,1.376734739164288e-05,0.01958729531275491
217.0854271356784,1042.6536424267097,224823.74864034506,160491.476722982,1.3820094601037593e-05,0.01966802640788725
218.09045226130652,1042.6148420348104,225871.62218734497,161239.5780661388,1.3872750789317051e-05,0.019748642009734037
219.09547738693468,1042.576790170086,226919.45711629788,161987.65716509748,1.3925316327905947e-05,0.019829142548071232
220.1005025125628,1042.5394730220978,227967.25417251093,162735.71450168005,1.3977791586596803e-05,0.019909528451573046
221.10552763819095,1042.5028772718827,229015.01408765966,163483.75054968163,1.403017693354569e-05,0.019989800147783662
222.1105527638191,1042.4669900778795,230062.73758027394,164231.7657752083,1.4082472735268391e-05,0.02006995806308989
223.11557788944722,1042.431799062385,231110.42535621254,164979.76063700768,1.4134679356637174e-05,0.020150002622694934
224.12060301507537,1042.3972922985233,232158.07810912188,165727.73558678877,1.4186797160877974e-05,0.020229934250592975
225.12562814070353,1042.3634582976954,233205.6965208826,166475.69106953335,1.4238826509568105e-05,0.020309753369544645
226.13065326633165,1042.3302859974933,234253.28126204418,167223.62752380045,1.4290767762634358e-05,0.02038946040105314
227.1356783919598,1042.2977647500554,235300.83299224748,167971.54538202198,1.4342621278351611e-05,0.0204690557653411
228.14070351758795,1042.2658843108393,236348.35236063556,168719.44507079106,1.4394387413341772e-05,0.020548539881327772
229.14572864321607,1042.2346348277965,237395.84000625365,169467.32701114303,1.4446066522573171e-05,0.020627913166606667
230.15075376884423,1042.2040068309311,238443.29655843813,170215.19161882915,1.449765895936034e-05,0.020707176037423343
231.15577889447235,1042.1739912222204,239490.7226371956,170963.03930458403,1.4549165075364095e-05,0.02078632890865303
232.1608040201005,1042.144579265883,240538.1188535718,171710.87047438603,1.4600585220592051e-05,0.020865372193777983
233.16582914572865,1042.1157625789815,241585.48581001075,172458.68552971137,1.4651919743399404e-05,0.020944306304864043
234.17085427135677,1042.0875331223383,242632.8241007051,173206.48486778248,1.4703168990490092e-05,0.021023131652536
235.17587939698493,1042.0598831917553,243680.13431193682,173954.26888180966,1.4754333306918205e-05,0.021101848645950994
236.18090452261305,1042.0328054095216,244727.4170224097,174702.03796122767,1.4805413036089747e-05,0.021180457692769262
237.1859296482412,1042.0062927161955,245774.67280357363,175449.79249192675,1.4856408519764652e-05,0.021258959199120592
238.19095477386935,1041.9803383626497,246821.9022199397,176197.53285647734,1.4907320098059056e-05,0.02133735356956508
239.1959798994975,1041.9549359023665,247869.1058293891,176945.25943435112,1.4958148109447883e-05,0.0214156412070452
240.20100502512562,1041.9300791839728,248916.28418347283,177692.97260213536,1.5008892890767599e-05,0.02149382251282524
241.20603015075375,1041.9057623440028,249963.43782770488,178440.67273374344,1.505955477721929e-05,0.02157189788641196
