N2O_sat_1D,psat,rhoL,rhoV,hL,hV,uL,uV,cpL,cpV,muL,muV,kL,kV
182.83,90575.6208715172,1235.8877530577086,2.6870612431862715,-3190.8877745193113,373172.38418246567,-3264.1756767963784,339464.32445688656,1717.9907044510903,796.9264285986576,0.0003178707982133027,9.095877184821514e-06,0.20622283125743965,0.00878135445186509
183.4641206030151,94145.32622253791,1234.0295362864965,2.7852714341401126,-2099.739615828796,373553.0409276965,-2176.0305987057905,339751.9093508167,1718.3227837607863,799.3093994113628,0.00031418641685142625,9.130136346530765e-06,0.20543335726756773,0.008824805835048816
184.09824120603017,97825.54511588386,1232.1683249656696,2.8862556099350147,-1008.3276641690504,373932.20755411295,-1087.7206684638243,340038.62419330305,1718.682903416762,801.7207972474765,0.0003105685962974207,9.164449525323243e-06,0.20464477491381536,0.00886842428270864
184.73236180904524,101618.65751031887,1230.3040731850851,2.990067387991941,83.3664745067392,374309.8609812182,0.7700987609917358,340324.45385682315,1719.0710759299134,804.1606789770431,0.0003070157637890082,9.198817425834463e-06,0.20385708243097844,0.008912211174994604
185.36648241206032,105527.06719752641,1228.4367347572263,3.0967609128400624,1175.36119204571,374685.9781266704,1089.4576495906877,340609.3832045029,1719.4873196396081,806.6291011571179,0.00030352638871466276,9.233240762305559e-06,0.20307027726000365,0.0089561679260183
186.0006030150754,109553.20155791166,1226.5662632086649,3.206390858372945,2267.674880914686,375060.53590416204,2178.357895078696,340893.3970876961,1719.931658776318,809.1261203919707,0.00030009898135917665,9.267720258690998e-06,0.20228435623695046,0.009000295984860497
186.63472361809048,113699.51131053768,1224.6926117713867,3.3190124303675854,3360.3259370370797,375433.51122105506,3267.486713367653,341176.4803433766,1720.4041235271654,811.6517936991653,0.00029673209168992363,9.302256648774288e-06,0.2014993157330121,0.00904459683660566
187.26884422110555,117968.47026386364,1222.815733373981,3.4346813692744935,4453.3327626485025,375804.8809757761,4356.859952359771,341458.6177913466,1720.904750104495,814.2061788811617,0.00029342430818244704,9.336850676292025e-06,0.20071515176015936,0.009089072003404232
187.9029648241206,122362.57506045098,1220.9355806326828,3.553453953286675,5546.713769174204,376174.62205497996,5446.493432408325,341739.7942312688,1721.4335808175663,816.7893349021347,0.0002901742566839047,9.37150309506627e-06,0.19993186005211305,0.00913372304556322
188.53708542713568,126884.34492460995,1219.0521058422694,3.675387001695948,6640.487380128001,376542.7113304829,6536.402949022456,342019.99443952495,1721.9906641474452,819.4013222697057,0.00028698059931311215,9.406214669145759e-06,0.19914943612729855,0.009178551562666021
189.17120603015076,131536.32139688497,1217.1652609667935,3.800537878543305,7734.67203402911,376909.12565597723,7626.604275594726,342299.20316590753,1722.5760548252488,822.0422034212779,0.0002838420333958248,9.440986172955878e-06,0.198367875338404,0.009223559194722075
189.80532663316583,136321.0680831354,1215.274997630166,3.9289644965741117,8829.286187356875,377273.84186352463,8717.113166148532,342577.40513014625,1723.189813913762,824.7120431147916,0.0002807572904340811,9.47581839145791e-06,0.19758717291185562,0.00926874762334735
190.4394472361809,141241.1703858155,1213.3812671065602,4.060725321502937,9924.348317515538,377636.8367598421,9807.945358103925,342854.5850182784,1723.8320088926591,827.4109088235726,0.0002777251351083842,9.510712120317566e-06,0.19680732397958495,0.009314118572976319
191.073567839196,146299.23524430464,1211.4840203106519,4.1958793765991675,11019.876925839346,377998.08712237794,10899.116575069891,343130.7274788626,1724.5027137473446,830.1388711351455,0.00027474436431157353,9.54566816608313e-06,0.19602832360483657,0.009359673812106393
191.70768844221107,151497.8908709647,1209.583207787675,4.334486247600167,12115.890540621778,378357.56969518884,11990.642529657693,343405.817119045,1725.202009061594,832.8960041537783,0.00027181380621332476,9.580687346373504e-06,0.19525016680333485,0.00940541515457566
192.34180904522614,156839.78648181775,1207.6787797032885,4.476606087960446,13212.407720174213,378715.2611846198,13082.538926321306,343679.8385004784,1725.9299821141274,835.6823859066096,0.00026893231935415244,9.615770490076279e-06,0.1944728485607687,0.009451344460874854
192.97592964824122,162327.59203728044,1205.7706858332585,4.6222996244468595,14309.447055924596,379071.13825479144,14174.821464222554,343952.77613510075,1726.686726979198,838.4980987532518,0.0002660987917679734,9.650918437556182e-06,0.19369636384736774,0.009497463639494559
193.6100502512563,167963.9979683626,1203.8588755529306,4.771628163085971,15407.027175540701,379425.1775229021,15267.505840125687,344224.614480776,1727.472344631424,841.3432297987018,0.0002633121401321692,9.686132040874125e-06,0.19292070763012492,0.009543774648308587
194.24417085427137,173751.7149159596,1201.9432978265033,4.924653595475347,16505.16674610009,379777.3555543454,16360.607751320424,344495.33793680137,1728.286943054919,844.2178713095519,0.0002605713089442832,9.721412164017096e-06,0.19214587488313717,0.009590279495994579
194.87829145728645,179693.473460183,1200.0239011960812,5.08143840546514,17603.884477288822,380127.64885765023,17454.142898574362,344764.9308392838,1729.1306373569548,847.1221211333788,0.0002578752697243662,9.756759683139186e-06,0.19137186059639305,0.009636980243492951
195.51241206030153,185792.02385483545,1198.1006337705076,5.242045676221027,18703.199124647235,380476.0338792459,18548.12698912041,345033.37745639106,1730.0035498862687,850.0560831213296,0.0002552230202421432,9.79217548681405e-06,0.1905986597833041,0.009683879005505278
196.14653266331658,192050.13576221588,1196.1734432139706,5.406539097676906,19803.1294928549,380822.4869980562,19642.575739674925,345300.6619834773,1730.905810356201,853.0198675538874,0.00025261358376816163,9.827660476299025e-06,0.18982626748720177,0.009730977952033251
