Position X [mm],Radius Y [mm],Channel Width [mm],Channel Height [mm],Rib Width [mm],Helix Angle [deg],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Density_Coolant [kg/m3],Velocity_Coolant [m/s],Quality_Coolant,Heat_Flux [MW/m2]
-226.2047838029761,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,928.1675440944166,500.42881077796665,263.31171549790406,97.62195612141646,95.00767863133463,27.666333488346986,999.0,7.1289788886075
-224.41926943377828,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,927.3398363469166,499.46075230298885,262.7788563785112,97.62195612141646,95.47589267566129,27.530657711653554,999.0,7.131318067398797
-222.6337550645805,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,926.5076798113837,498.4874906787453,262.2482215246635,97.6273021883365,95.94861850551854,27.39501789509373,999.0,7.133669818877307
-220.84824069538269,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,925.6710852747958,497.5090385213139,261.71983166213147,97.63262192958081,96.42590876215965,27.259417668041802,999.0,7.136034112558032
-219.0627263261849,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,924.8300660011671,496.52541134382875,261.1937073683559,97.63791535337178,96.90781658321559,27.12386073326782,999.0,7.138410910955638
-217.2772119569871,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,923.9846378344288,495.5366276768063,260.6698690601979,97.64318246865194,97.39439559752672,26.98835086805499,999.0,7.140800169293708
-215.4916975877893,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,923.1348193037707,494.5427091913486,260.1483369813475,97.64842328509839,97.88569991934611,26.85289192531689,999.0,7.143201835207034
-213.7061832185915,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,922.280631731399,493.54368082517385,259.62913118938263,97.6536378131375,98.3817841418843,26.71748783471348,999.0,7.145615848437085
-211.92066884939368,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,921.4220993426702,492.5395709114247,259.11227154247916,97.65882606395971,98.8827033301669,26.582142603764158,999.0,7.14804214052076
-210.1351544801959,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,920.5592493785409,491.5304113101855,258.5977776857742,97.6639880495347,99.38851301317247,26.44686031895689,999.0,7.150480634472591
-208.34964011099808,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,919.6921122102651,490.51623754262914,258.0856690373718,97.6691237826266,99.89926917521699,26.31164514685242,999.0,7.1529312444606
-206.5641257418003,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,918.8207214562633,489.49708892770235,257.57596477400233,97.67423327680959,100.41502824655572,26.17650133518098,999.0,7.155393875476016
-204.77861137260248,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,917.9451141010716,488.47300872124487,257.068683816327,97.67931654648356,100.93584709316441,26.041433213931086,999.0,7.157868422997112
-202.99309700340467,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,917.0653306162659,487.444044257418,256.5638448138917,97.68437360689012,101.46178300566649,25.906445196428326,999.0,7.160354772647465
-201.2075826342069,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,916.1814150832488,486.4102470923121,256.0614661297307,97.68940447412866,101.99289368737102,25.771541780402192,999.0,7.162852799848945
-199.42206826500907,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,915.2934153177679,485.3716731495786,255.56156582462253,97.69440916517276,102.52923724138378,25.63672754903961,999.0,7.16536236946982
-197.6365538958113,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,914.4013829960174,484.32838286791474,255.06416164100003,97.6993876978867,103.07087215675435,25.502007172022868,999.0,7.167883335468379
-195.85103952661348,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,913.5053737821695,483.28044135021895,254.5692709865196,97.70434009104231,103.61785729362151,25.367385406550063,999.0,7.170415540532509
-194.06552515741566,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,912.6054474571552,482.22791851420936,254.07691091729117,97.70926636433579,104.17025186731438,25.232867098336676,999.0,7.172958815715763
-192.28001078821788,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,911.7016680484991,481.1708892442738,253.58709812077544,97.71416653840495,104.7281154313763,25.098457182594395,999.0,7.175512980070422
-190.4944964190201,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,910.7941039610081,480.1094335443184,253.099848898357,97.71904063484652,105.29150785946362,24.96416068498681,999.0,7.178077840278162
-188.70898204982228,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,909.8828281080727,479.0436366913334,252.61517914759295,97.72388867623368,105.86048932608195,24.829982722558483,999.0,7.180653190278988
-186.92346768062447,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,908.9679180475296,477.9735893942937,252.133104377443,97.72871068613372,106.43512035867458,24.695928487799886,999.0,7.183238810887264
-185.13795331142668,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,908.0494560970432,476.8993879291045,251.65363955600336,97.73350668912273,107.01546152418852,24.562003317381226,999.0,7.185834469465645
-183.35243894222887,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,907.1275294898246,475.8211343207251,251.17679929407245,97.73827671081344,107.60157384644569,24.428212590266188,999.0,7.188439919484993
