Position X [mm],Radius Y [mm],Channel Width [mm],Channel Height [mm],Rib Width [mm],Helix Angle [deg],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Density_Coolant [kg/m3],Velocity_Coolant [m/s],Quality_Coolant,Heat_Flux [MW/m2]
-221.40848834617123,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1021.8297627165721,545.2122832833923,347.7391239749497,87.972448515722,205.2765140873583,41.11098823125809,999.0,7.943624657219664
-219.49828415769943,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1021.0468888834,544.276849066498,347.3928170969763,87.972448515722,206.16174873008706,40.934462414983756,999.0,7.946167330281701
-217.58807996922766,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1020.2594902047977,543.3360082373729,347.04870899987344,87.99967880234104,207.05389502482933,40.75808549164012,999.0,7.948724699457079
-215.67787578075587,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1019.467548500472,542.3897390728895,346.7068133123325,88.02679179592434,207.9530219624875,40.58185966790807,999.0,7.951296823793043
-213.76767159228407,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1018.671046914726,541.4380214326428,346.3671435364927,88.05378759767596,208.8591991189129,40.4057872020964,999.0,7.95388375803472
-211.8574674038123,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1017.8699699794324,540.4808368341972,346.02971304090386,88.08066631030191,209.77249665320628,40.229870404558035,999.0,7.956485552420586
-209.9472632153405,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1017.0643036785564,539.5181685301816,345.69453505335684,88.10742803804474,210.6929853057029,40.05411163809946,999.0,7.959102252472915
-208.03705902686872,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1016.2540355142253,538.5500015872345,345.3616226535807,88.13407288671841,211.62073639562664,39.87851331838328,999.0,7.96173389878318
-206.12685483839695,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1015.439154574338,537.5763229667896,345.0309887658084,88.16060096374346,212.555821818404,39.7030779143231,999.0,7.964380526792475
-204.21665064992516,86.41056074388523,5.028444312391103,3.0,1.0,0.0,0.09990343427430026,3467.624299784749,3247.8707989681943,1014.6196516017103,536.5971216076939,344.70264615121226,88.18701237818232,213.49831404262335,39.52780794847057,999.0,7.96704216656694
