Parameter,Value
--- META ---,
Engine Name,Demo 45KN
Run Tag,timestamped
Fuel,CH4
Oxidizer,LOX
Coolant,REFPROP::NitrousOxide
--- OPERATING POINT ---,
Chamber Pressure [bar],70
Mixture Ratio,3.0
Mass Flow Total [kg/s],17.423
--- PERFORMANCE ---,
Thrust Vac [N],64224.9
Thrust Sea [N],47368.4
Isp Vac [s],375.9
Isp Sea [s],277.2
Expansion Ratio,80.0
Exit Diameter [mm],670.21
--- GEOMETRY (Fixed) ---,
Throat Diameter [mm],74.93
Chamber Length [mm],1100.6
Contraction Ratio,8
--- COOLING SUMMARY ---,
Max Hot Wall Temp [K],1866.9
Max Coolant Temp [K],351.3
Max Heat Flux [MW/m2],24.76
Pressure Drop [bar],13.17
Min Coolant Density [kg/m3],231.7
