Position X [mm],Radius Y [mm],Channel Width [mm],Channel Height [mm],Rib Width [mm],Helix Angle [deg],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Density_Coolant [kg/m3],Velocity_Coolant [m/s],Quality_Coolant,Heat_Flux [MW/m2]
-226.2047838029761,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,958.3723932151903,535.7553620457389,349.2815619017339,88.35404695919225,203.35696151049598,38.77684985226141,999.0,7.0436171861575225
-224.41926943377828,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,957.7024466832002,534.9718156550789,348.96607424132384,88.35404695919225,204.12116952756483,38.63167343767217,999.0,7.045510517135356
-222.6337550645805,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,957.0292519378384,534.1844702659287,348.65228374306247,88.37651001972499,204.89064337650822,38.486590861126274,999.0,7.047413027865162
-220.84824069538269,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,956.3527951675892,533.3933097248153,348.3402002125631,88.39888874478862,205.66542965292115,38.34160352671893,999.0,7.049324757379566
-219.0627263261849,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,955.6730632306081,532.5983186614899,348.029833390804,88.42118319023997,206.44557531146268,38.196712867339265,999.0,7.051245742818637
-217.2772119569871,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,954.9900436847702,531.7994825240719,347.72119295050385,88.44339341276893,207.2311276653729,38.051920344890505,999.0,7.0531760193449715
-215.4916975877893,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,954.3037248184158,530.9967876150074,347.41428849243016,88.46551946991531,208.02213438585414,37.90722745050747,999.0,7.0551156200568075
-213.7061832185915,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,953.6140956818044,530.1902211278568,347.1091295416449,88.48756142008583,208.81864350131613,37.762635704770794,999.0,7.057064575899125
-211.92066884939368,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,952.921146119269,529.3797711849022,346.8057255436809,88.5095193225712,209.62070339647073,37.61814665791914,999.0,7.059022915572781
-210.1351544801959,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,952.2248668020752,528.5654268755768,346.50408586065737,88.53139323756338,210.42836281128308,37.47376189005727,999.0,7.060990665441642
-208.34964011099808,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,951.5252492619868,527.7471782957231,346.2042197673266,88.55318322617292,211.24167083976354,37.32948301136165,999.0,7.062967849437729
-206.5641257418003,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,950.8222859255287,526.9250165876657,345.90613644705877,88.57488935044644,212.0606769286041,37.18531166228185,999.0,7.064954488964384
-204.77861137260248,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,950.1159701489544,526.0989339811074,345.6098449877623,88.59651167338419,212.88543087564636,37.04124951373877,999.0,7.06695060279745
-202.99309700340467,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,949.4062962539047,525.2689238348348,345.31535437774045,88.61805025895772,213.7159828281816,36.89729826731882,999.0,7.068956206984498
-201.2075826342069,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,948.6932595637618,524.434980679237,345.02267350148554,88.63950517212784,214.55238328107487,36.753459655463864,999.0,7.07097131474208
-199.42206826500907,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,947.9768564406851,523.5971002596207,344.7318111354107,88.66087647886235,215.39468307470798,36.60973544165696,999.0,7.072995936351074
-197.6365538958113,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,947.2570843233301,522.7552795803256,344.44277594352104,88.6821642461542,216.24293339273396,36.466127420603925,999.0,7.075030079050074
-195.85103952661348,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,946.5339417652344,521.9095169496193,344.155576473023,88.70336854203961,217.0971857596432,36.32263741840946,999.0,7.07707374692692
-194.06552515741566,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,945.8074284738664,521.0598120253666,343.8702211498756,88.72448943561626,217.95749203812605,36.17926729274914,999.0,7.07912694080833
-192.28001078821788,93.98156527388304,5.021802594455179,3.0,1.0,0.0,0.09991602845515293,3450.7242121945706,2826.0926617663026,945.0775453503278,520.2061658614653,343.5867182742818,88.7455269970617,218.82390442623543,36.036018933035656,999.0,7.08118965814771
