Parameter,Value
--- META ---,
Engine Name,Demo 45KN
Run Tag,timestamped
Fuel,CH4
Oxidizer,LOX
Coolant,REFPROP::Methane
--- OPERATING POINT ---,
Chamber Pressure [bar],60
Mixture Ratio,3.0
Mass Flow Total [kg/s],17.0523
--- PERFORMANCE ---,
Thrust Vac [N],65802.4
Thrust Sea [N],42105.3
Isp Vac [s],393.5
Isp Sea [s],251.8
Expansion Ratio,380.0
Exit Diameter [mm],1559.87
--- GEOMETRY (Fixed) ---,
Throat Diameter [mm],80.02
Chamber Length [mm],2437.9
Contraction Ratio,6
--- COOLING SUMMARY ---,
Max Hot Wall Temp [K],1731.3
Max Coolant Temp [K],314.5
Max Heat Flux [MW/m2],23.28
Pressure Drop [bar],4.32
Min Coolant Density [kg/m3],66.2
