Position X [mm],Radius Y [mm],Channel Width [mm],Channel Height [mm],Rib Width [mm],Helix Angle [deg],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Density_Coolant [kg/m3],Velocity_Coolant [m/s],Quality_Coolant,Heat_Flux [MW/m2]
-244.68462415305123,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,976.1976732085857,559.113181456745,314.1645208761286,95.95277178372623,66.54297897983774,40.71646124212579,999.0,6.951408195864013
-242.6129137257219,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,975.6089330426261,558.4252084116772,313.43610767736845,95.95277178372623,66.79536921034233,40.56261169896554,999.0,6.953062077182481
-240.54120329839256,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,975.0172630870226,557.7338117573174,312.7084677593091,95.9621924428255,67.04989739171198,40.40863192883964,999.0,6.954724188828419
-238.46949287106324,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,974.4226264341945,557.0389483652671,311.9816209163205,95.97157730744591,67.3065894256756,40.25452259113572,999.0,6.956394634482124
-236.3977824437339,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,973.8249858460488,556.3405747209065,311.2555871647235,95.98092634808846,67.56547159563813,40.10028436985063,999.0,6.958073518752373
-234.32607201640457,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,973.2243037558076,555.6386469255311,310.5303867437909,95.99023953541618,67.82657057284086,39.94591797411398,999.0,6.959760947171275
-232.25436158907522,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,972.6205422701337,554.9331206988353,309.80604011670226,95.99951684026004,68.08991342261113,39.791424138724565,999.0,6.961457026188307
-230.1826511617459,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,972.0136631715661,554.2239513817581,309.0825679714464,96.0087582336249,68.35552761070326,39.63680362469927,999.0,6.963161863163466
-228.11094073441654,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,971.4036279212867,553.5110939397159,308.35999122167703,96.01796368669555,68.6234410097297,39.482057219835504,999.0,6.964875566359513
-226.03923030708722,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,970.7903976622397,552.7945029662487,307.63833100750895,96.02713317084302,68.89368190568332,39.32718573928686,999.0,6.966598244933183
-223.96751987975787,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,970.1739332226175,552.0741326870923,306.91760869625836,96.03626665763086,69.16627900455023,39.17219002615295,999.0,6.968330008925419
-221.89580945242855,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,969.5541951197456,551.3499369647191,306.19784588311984,96.04536411882174,69.4412614390136,39.017070952083216,999.0,6.970070969250443
-219.8240990250992,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,968.9311435643784,550.6218693033569,305.4790643917838,96.05442552638392,69.7186587752485,38.86182941789527,999.0,6.971821237683692
-217.75238859776988,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,968.304738465441,549.8898828545309,304.76128627498093,96.06345085249825,69.99850101980631,38.70646635420839,999.0,6.973580926848501
-215.68067817044053,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,967.674939435231,549.1539304231419,304.0445338149587,96.07244006956485,70.28081862659019,38.55098272209192,999.0,6.975350150201484
-213.6089677431112,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,967.0417057951192,548.4139644741279,303.328829523883,96.08139315021036,70.565642503919,38.395379513729836,999.0,6.9771290220165225
-211.53725731578186,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,966.4049965817641,547.6699371397252,302.61419614415934,96.09031006729514,70.8530040216812,38.239657753100666,999.0,6.978917657367314
-209.46554688845254,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,965.7647705538832,546.9218002273831,301.90065664867444,96.09919079392058,71.14293501857631,38.083818496674304,999.0,6.980716172108336
-207.3938364611232,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,965.1209861995992,546.1695052283458,301.18823424095007,96.10803530343674,71.43546780944307,37.92786283412564,999.0,6.982524682854223
-205.32212603379386,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,964.473601744402,545.4130033269585,300.47695235520405,96.11684356944997,71.73063519267545,37.77179188906466,999.0,6.984343306957392
-203.25041560646451,96.84367964827628,5.020996586624685,3.0,1.0,0.0,0.09991602845515288,3450.7242121945706,2809.1871662498193,963.8225751597572,544.6522454107253,299.76683465632067,96.12561556583088,72.02847045772162,37.61560681978498,999.0,6.986172162483864
