Position X [mm],Radius Y [mm],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],Channel Width [mm],Channel Height [mm],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Heat Flux [MW/m2],Coolant Velocity [m/s],Coolant Density [kg/m3],Coolant Quality
-137.93355532962644,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,598.9373025780235,512.352265482408,322.2564665866194,53.12178393971049,2.5975511128684623,33.651990471511844,119.04904317696051,998.0
-136.7349928016234,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,597.6395131403883,511.00880748878984,321.5152564416618,53.12178393971049,2.5989211695479537,33.423307094787404,119.86358068254947,998.0
-135.53643027362034,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,596.3250095695546,509.6480472000529,320.7801272778317,53.14347081227292,2.6003088710850517,33.1945765701703,120.68951258242018,998.0
-134.3378677456173,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,594.9933204254985,508.2694965864365,320.05120432102825,53.16500914606785,2.601714715171859,32.96580138096616,121.52707044297136,998.0
-133.13930521761426,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,593.6439638447636,506.8726568279523,319.3286142119343,53.18639891860987,2.6031392105043376,32.736984211148155,122.3764913956065,998.0
-131.9407426896112,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,592.2764475235826,505.45701829691166,318.61248495109487,53.20764010917094,2.6045828768001287,32.50812794800981,123.23801829009798,998.0
-130.74218016160816,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,590.8902687157138,504.0220605556859,317.9029458390187,53.22873269891145,2.6060462448008352,32.2792356846081,124.1118998534403,998.0
-129.54361763360512,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,589.4849142455997,502.5672523703287,317.2001274111963,53.24967667101283,2.607529856258131,32.05031072198377,124.99839085446813,998.0
-128.34505510560206,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,588.0598605374192,501.09205174064954,316.5041613679474,53.27047201081154,2.609034263903091,31.821356571147874,125.8977522745242,998.0
-127.14649257759902,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,586.6145736605347,499.5959059472609,315.81518049902246,53.29111870593432,2.6105600313982134,31.59237695482398,126.81025148447868,998.0
-125.94793004959598,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,585.1485093659771,498.078251589347,315.13331859065846,53.31161674643452,2.6121077332989024,31.36337580514303,127.73616244386317,998.0
-124.74936752159293,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,583.6611132760879,496.53851478097897,314.45871039202103,53.331966124926836,2.613677954853268,31.134357281097483,128.67576582561972,998.0
-123.55080499358988,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,582.1518207633286,494.9761110256599,313.7914914204884,53.35216683673347,2.6152712921300605,30.905325737460448,129.62934934472165,998.0
-122.35224246558684,48.26992740757634,0.04967630395277465,3059.473752244971,1055.6848744183656,4.77597353192103,0.75,580.6200573703074,493.3904456511321,313.1317980069155,53.372218880009896,2.6168883515752603,30.676285769876937,130.59720778086066,998.0
